px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
5.6935	-8.12326	-2.81531	-2.45925	-0.82493	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	0
5.82909	-8.01039	-2.86375	-2.50273	-0.822072	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.92006	-7.90038	-2.81804	-2.50159	-0.748582	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	0
6.05452	-7.79278	-2.85704	-2.53818	-0.743443	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.13949	-7.68504	-2.77999	-2.52508	-0.656689	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	0
6.26732	-7.58683	-2.79909	-2.55624	-0.651641	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.36246	-7.48711	-2.73148	-2.55009	-0.582986	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	0
6.48242	-7.39837	-2.73064	-2.57703	-0.578249	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.59848	-7.31553	-2.74779	-2.60206	-0.576563	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0
6.73293	-7.22076	-2.80742	-2.62254	-0.567413	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.78442	-7.10884	-2.59401	-2.5636	-0.422053	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	0
6.90123	-7.01496	-2.6087	-2.57712	-0.412646	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
7.03197	-6.9393	-2.63171	-2.6052	-0.421374	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0
7.16503	-6.83901	-2.67875	-2.61578	-0.408475	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
7.24083	-6.74085	-2.52177	-2.57572	-0.306785	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	0
7.36495	-6.64157	-2.56408	-2.58021	-0.294165	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
7.52424	-6.59035	-2.71582	-2.64932	-0.383627	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	0
7.65122	-6.51115	-2.74657	-2.6613	-0.376114	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
7.76457	-6.43339	-2.68613	-2.66186	-0.345728	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	0
7.88695	-6.36732	-2.66918	-2.67942	-0.344853	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
8.00577	-6.29761	-2.62126	-2.68438	-0.322311	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0
8.14167	-6.21232	-2.65662	-2.6902	-0.30997	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
8.21434	-6.13306	-2.48515	-2.65599	-0.231873	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	0
8.33499	-6.04261	-2.5384	-2.65014	-0.213709	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
8.49278	-5.98143	-2.67138	-2.69044	-0.261735	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	0
8.63562	-5.90188	-2.70661	-2.69706	-0.253265	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
8.71954	-5.81687	-2.50284	-2.65819	-0.169813	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	0
